block_id,block_name,latitude,longitude,hour,population,traffic,pm25
A1,金融中心,31.2304,121.4737,0,1200,15,35
A1,金融中心,31.2304,121.4737,1,800,8,28
A1,金融中心,31.2304,121.4737,2,500,5,25
A1,金融中心,31.2304,121.4737,3,400,3,22
A1,金融中心,31.2304,121.4737,4,350,5,20
A1,金融中心,31.2304,121.4737,5,500,12,25
A1,金融中心,31.2304,121.4737,6,1200,35,40
A1,金融中心,31.2304,121.4737,7,2800,68,65
A1,金融中心,31.2304,121.4737,8,4200,85,95
A1,金融中心,31.2304,121.4737,9,4500,78,105
A1,金融中心,31.2304,121.4737,10,4300,72,110
A1,金融中心,31.2304,121.4737,11,4100,65,108
A1,金融中心,31.2304,121.4737,12,3800,75,115
A1,金融中心,31.2304,121.4737,13,3900,70,112
A1,金融中心,31.2304,121.4737,14,4000,68,108
A1,金融中心,31.2304,121.4737,15,4200,72,105
A1,金融中心,31.2304,121.4737,16,4400,82,110
A1,金融中心,31.2304,121.4737,17,4600,90,120
A1,金融中心,31.2304,121.4737,18,4000,85,115
A1,金融中心,31.2304,121.4737,19,3200,60,90
A1,金融中心,31.2304,121.4737,20,2500,45,75
A1,金融中心,31.2304,121.4737,21,2000,35,60
A1,金融中心,31.2304,121.4737,22,1600,25,50
A1,金融中心,31.2304,121.4737,23,1300,18,42
A2,科技园,31.2250,121.4800,0,1500,10,30
A2,科技园,31.2250,121.4800,1,1000,6,25
A2,科技园,31.2250,121.4800,2,700,4,20
A2,科技园,31.2250,121.4800,3,600,3,18
A2,科技园,31.2250,121.4800,4,550,4,16
A2,科技园,31.2250,121.4800,5,700,10,20
A2,科技园,31.2250,121.4800,6,1500,28,35
A2,科技园,31.2250,121.4800,7,3200,55,55
A2,科技园,31.2250,121.4800,8,4800,72,85
A2,科技园,31.2250,121.4800,9,5000,68,92
A2,科技园,31.2250,121.4800,10,4900,62,88
A2,科技园,31.2250,121.4800,11,4700,58,85
A2,科技园,31.2250,121.4800,12,4200,65,90
A2,科技园,31.2250,121.4800,13,4400,60,88
A2,科技园,31.2250,121.4800,14,4600,58,85
A2,科技园,31.2250,121.4800,15,4800,62,82
A2,科技园,31.2250,121.4800,16,4900,70,88
A2,科技园,31.2250,121.4800,17,5000,78,95
A2,科技园,31.2250,121.4800,18,4500,72,90
A2,科技园,31.2250,121.4800,19,3600,50,70
A2,科技园,31.2250,121.4800,20,2800,38,58
A2,科技园,31.2250,121.4800,21,2200,28,45
A2,科技园,31.2250,121.4800,22,1800,20,38
A2,科技园,31.2250,121.4800,23,1600,12,32
B1,商业区,31.2350,121.4680,0,800,20,40
B1,商业区,31.2350,121.4680,1,500,12,32
B1,商业区,31.2350,121.4680,2,350,8,28
B1,商业区,31.2350,121.4680,3,280,5,24
B1,商业区,31.2350,121.4680,4,250,6,22
B1,商业区,31.2350,121.4680,5,380,14,28
B1,商业区,31.2350,121.4680,6,900,40,48
B1,商业区,31.2350,121.4680,7,2200,70,75
B1,商业区,31.2350,121.4680,8,3600,88,108
B1,商业区,31.2350,121.4680,9,3900,82,118
B1,商业区,31.2350,121.4680,10,3800,78,122
B1,商业区,31.2350,121.4680,11,3600,85,128
B1,商业区,31.2350,121.4680,12,3200,92,135
B1,商业区,31.2350,121.4680,13,3400,88,132
B1,商业区,31.2350,121.4680,14,3500,85,128
B1,商业区,31.2350,121.4680,15,3700,88,125
B1,商业区,31.2350,121.4680,16,3900,92,132
B1,商业区,31.2350,121.4680,17,4100,95,142
B1,商业区,31.2350,121.4680,18,3600,90,135
B1,商业区,31.2350,121.4680,19,3000,75,115
B1,商业区,31.2350,121.4680,20,2400,60,95
B1,商业区,31.2350,121.4680,21,1800,45,75
B1,商业区,31.2350,121.4680,22,1200,32,58
B1,商业区,31.2350,121.4680,23,900,25,48
C1,居住区,31.2400,121.4620,0,2500,5,25
C1,居住区,31.2400,121.4620,1,2600,3,22
C1,居住区,31.2400,121.4620,2,2650,2,20
C1,居住区,31.2400,121.4620,3,2680,2,18
C1,居住区,31.2400,121.4620,4,2650,3,18
C1,居住区,31.2400,121.4620,5,2500,8,22
C1,居住区,31.2400,121.4620,6,2200,22,32
C1,居住区,31.2400,121.4620,7,1800,45,48
C1,居住区,31.2400,121.4620,8,1200,62,65
C1,居住区,31.2400,121.4620,9,800,48,55
C1,居住区,31.2400,121.4620,10,700,35,48
C1,居住区,31.2400,121.4620,11,650,30,42
C1,居住区,31.2400,121.4620,12,750,35,45
C1,居住区,31.2400,121.4620,13,720,32,42
C1,居住区,31.2400,121.4620,14,680,28,40
C1,居住区,31.2400,121.4620,15,750,32,42
C1,居住区,31.2400,121.4620,16,900,42,52
C1,居住区,31.2400,121.4620,17,1400,58,68
C1,居住区,31.2400,121.4620,18,2000,48,58
C1,居住区,31.2400,121.4620,19,2400,32,45
C1,居住区,31.2400,121.4620,20,2500,22,38
C1,居住区,31.2400,121.4620,21,2550,15,32
C1,居住区,31.2400,121.4620,22,2580,10,28
C1,居住区,31.2400,121.4620,23,2520,6,25
